provider,model,game_number,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10
openai,gpt-4.1-nano,1,A,A,A,A,A,A,A,A,A,A
openai,gpt-4.1-nano,2,A,A,A,A,A,A,A,A,A,A
openai,gpt-4.1-nano,3,A,A,A,A,A,A,A,A,A,A
openai,gpt-4.1-nano,4,A,B,B,B,A,B,B,A,B,B
openai,gpt-4.1-nano,5,A,A,A,A,A,B,A,A,A,A
openai,gpt-4.1-nano,6,A,B,A,B,A,B,A,A,B,A
openai,gpt-4.1-nano,7,A,A,A,A,A,B,A,A,B,A
openai,gpt-4.1-nano,8,A,A,A,A,A,A,A,A,A,A
openai,gpt-4.1-nano,9,A,A,A,A,A,A,A,A,A,A
openai,gpt-4.1-nano,10,A,A,A,A,A,B,A,A,B,A
openai,gpt-5.4-nano,1,A,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,2,A,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,3,A,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,4,A,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,5,A,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,6,A,A,A,A,A,A,A,A,A,A
openai,gpt-5.4-nano,7,A,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,8,A,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,9,A,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,10,A,B,B,B,B,B,B,B,B,B
openai,gpt-4o-mini,1,A,B,B,B,A,B,B,A,B,B
openai,gpt-4o-mini,2,A,B,B,B,A,B,B,A,B,B
openai,gpt-4o-mini,3,A,B,B,B,A,B,B,A,B,B
openai,gpt-4o-mini,4,A,B,B,B,A,B,B,A,B,B
openai,gpt-4o-mini,5,A,B,B,B,A,B,B,A,B,B
openai,gpt-4o-mini,6,A,B,B,B,A,B,B,A,B,B
openai,gpt-4o-mini,7,A,B,B,B,A,B,B,A,B,B
openai,gpt-4o-mini,8,A,B,B,B,A,B,B,A,B,B
openai,gpt-4o-mini,9,A,B,B,B,A,B,B,A,B,B
openai,gpt-4o-mini,10,A,B,B,B,A,B,B,A,B,B
