provider,model,game_number,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10
together,deepseek-ai/DeepSeek-V4-Flash-0731,1,A,B,B,B,B,B,B,B,B,B
together,deepseek-ai/DeepSeek-V4-Flash-0731,2,A,B,B,B,B,B,B,B,B,B
together,deepseek-ai/DeepSeek-V4-Flash-0731,3,A,B,B,B,B,B,B,B,B,B
together,deepseek-ai/DeepSeek-V4-Flash-0731,4,A,B,B,B,B,B,B,B,B,B
together,deepseek-ai/DeepSeek-V4-Flash-0731,5,A,B,B,B,B,B,B,B,B,B
together,deepseek-ai/DeepSeek-V4-Flash-0731,6,A,B,B,B,B,B,B,B,B,B
together,deepseek-ai/DeepSeek-V4-Flash-0731,7,A,B,B,B,B,B,B,B,B,B
together,deepseek-ai/DeepSeek-V4-Flash-0731,8,A,B,B,B,B,B,B,B,B,B
together,deepseek-ai/DeepSeek-V4-Flash-0731,9,A,B,B,B,B,B,B,B,B,B
together,deepseek-ai/DeepSeek-V4-Flash-0731,10,A,B,B,B,B,B,B,B,B,B
together,openai/gpt-oss-20b,1,A,B,B,B,B,B,B,,,
together,openai/gpt-oss-20b,2,A,B,B,B,B,B,B,B,B,B
together,openai/gpt-oss-20b,3,A,B,B,B,B,B,B,B,B,B
together,openai/gpt-oss-20b,4,A,B,B,B,B,B,B,B,B,B
together,openai/gpt-oss-20b,5,A,B,B,B,B,B,B,B,B,B
together,openai/gpt-oss-20b,6,A,A,B,B,B,B,B,B,B,B
together,openai/gpt-oss-20b,7,A,B,B,B,B,B,B,B,B,B
together,openai/gpt-oss-20b,8,A,B,B,B,B,B,B,B,B,B
together,openai/gpt-oss-20b,9,A,B,B,B,B,B,B,B,B,B
together,openai/gpt-oss-20b,10,A,B,B,B,B,B,,,,
together,Qwen/Qwen3.5-9B,1,A,B,A,B,A,B,A,B,A,B
together,Qwen/Qwen3.5-9B,2,A,B,A,B,A,B,A,B,A,B
together,Qwen/Qwen3.5-9B,3,A,B,A,B,A,B,A,B,A,B
together,Qwen/Qwen3.5-9B,4,A,B,A,B,A,B,A,B,A,B
together,Qwen/Qwen3.5-9B,5,A,B,A,B,A,B,A,B,A,B
together,Qwen/Qwen3.5-9B,6,A,B,B,B,B,B,B,B,B,B
together,Qwen/Qwen3.5-9B,7,A,B,B,B,B,B,B,B,B,B
together,Qwen/Qwen3.5-9B,8,A,B,A,B,A,B,A,B,A,B
together,Qwen/Qwen3.5-9B,9,A,B,B,B,A,B,B,B,B,B
together,Qwen/Qwen3.5-9B,10,A,B,A,B,A,B,A,B,A,B
