provider,model,game_number,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20
openai,gpt-5-nano,1,,,,,,,,,,,,,,,,,,,,
openai,gpt-5-nano,2,,,,,,,,,,,,,,,,,,,,
openai,gpt-5-nano,3,,,,,,,,,,,,,,,,,,,,
openai,gpt-5-nano,4,,,,,,,,,,,,,,,,,,,,
openai,gpt-5-nano,5,,,,,,,,,,,,,,,,,,,,
openai,gpt-5-nano,6,,,,,,,,,,,,,,,,,,,,
openai,gpt-5-nano,7,,,,,,,,,,,,,,,,,,,,
openai,gpt-5-nano,8,,,,,,,,,,,,,,,,,,,,
openai,gpt-5-nano,9,,,,,,,,,,,,,,,,,,,,
openai,gpt-5-nano,10,,,,,,,,,,,,,,,,,,,,
openai,gpt-4.1-nano,1,A,B,A,B,A,B,A,A,B,A,B,A,B,A,A,B,A,B,A,B
openai,gpt-4.1-nano,2,A,A,A,A,A,B,A,A,B,A,B,A,B,A,A,B,A,B,A,B
openai,gpt-4.1-nano,3,A,B,B,B,A,B,B,A,B,B,B,B,B,A,B,B,A,B,B,B
openai,gpt-4.1-nano,4,A,B,B,B,A,B,B,A,B,B,B,A,B,B,A,B,A,B,B,B
openai,gpt-4.1-nano,5,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
openai,gpt-4.1-nano,6,A,B,B,B,A,B,B,A,B,B,B,B,B,A,B,B,A,B,B,B
openai,gpt-4.1-nano,7,A,A,B,B,A,A,B,A,B,A,A,B,A,A,A,B,A,A,B,A
openai,gpt-4.1-nano,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
openai,gpt-4.1-nano,9,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-4.1-nano,10,A,B,B,B,A,A,A,A,B,B,B,B,B,B,A,A,A,B,B,B
openai,gpt-4o-mini,1,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-4o-mini,2,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-4o-mini,3,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
